Site,Trap,Date,Date_cal,Round,Genus,Species,Sex,correction_10g,Unadjusted_weight,Mass_g,Elytra_length_mm
MASS 120,6,05-07-2017,186,2,Nicrophorus,orbicollis,F,0.9837,0.254,0.258,9.07
MASS 7,6,21-06-2017,172,2,Nicrophorus,orbicollis,F,0.9753,0.252,0.258,9.52
BONW 107,0,14-08-2017,226,3,Nicrophorus,orbicollis,F,0.9821,0.254,0.259,9.43
CAPE 57,0,12-07-2017,193,2,Nicrophorus,orbicollis,F,0.9824,0.255,0.26,9.57
BONW 92,0,18-08-2017,230,3,Nicrophorus,orbicollis,F,0.9823,0.255,0.26,10
QUBS 42,0,15-09-2017,258,4,Nicrophorus,orbicollis,F,0.977,0.254,0.26,9.44
HUGH 137,0,29-06-2017,180,2,Nicrophorus,orbicollis,F,0.9769,0.255,0.261,9.34
HUGH 73,0,12-06-2017,163,2,Nicrophorus,orbicollis,F,0.9798,0.256,0.261,9.89
BONW 107,0,14-08-2017,226,3,Nicrophorus,orbicollis,F,0.9821,0.257,0.262,9.53
HUGH 73,0,12-06-2017,163,2,Nicrophorus,orbicollis,F,0.9802,0.257,0.262,10.47
PANG 114,0,11-08-2017,223,3,Nicrophorus,orbicollis,F,0.9827,0.258,0.263,9.18
TURID 204,0,14-08-2017,226,3,Nicrophorus,orbicollis,F,0.9788,0.258,0.264,9.91
CAPE 47,0,12-07-2017,193,2,Nicrophorus,orbicollis,F,0.9823,0.259,0.264,10.28
HUGH 123,0,25-08-2017,237,3,Nicrophorus,orbicollis,F,0.9746,0.257,0.264,9.73
BONW 90,0,14-08-2017,226,3,Nicrophorus,orbicollis,F,0.9775,0.258,0.264,9.33
CAPE 56,6,15-06-2017,166,2,Nicrophorus,orbicollis,F,0.9774,0.258,0.264,9.24
MASS 4,6,23-06-2017,174,2,Nicrophorus,orbicollis,F,0.9767,0.258,0.264,11.51
BRAC 84,0,09-08-2017,221,3,Nicrophorus,orbicollis,F,0.9759,0.258,0.264,8.84
PANG 115,0,22-09-2017,265,4,Nicrophorus,orbicollis,F,0.9753,0.258,0.265,10.43
HUGH 70,6,26-06-2017,177,2,Nicrophorus,orbicollis,F,0.975,0.258,0.265,9.15
MASS 130,0,09-08-2017,221,3,Nicrophorus,orbicollis,F,0.9748,0.258,0.265,9.64
MASS 202,0,23-08-2017,235,3,Nicrophorus,orbicollis,F,0.9748,0.259,0.266,10.08
HUGH 70,0,25-08-2017,237,3,Nicrophorus,orbicollis,F,0.9737,0.259,0.266,9.7
MOOR 43,0,31-07-2017,212,3,Nicrophorus,orbicollis,F,0.9773,0.26,0.266,9.06
MASS 141,0,23-06-2017,174,2,Nicrophorus,orbicollis,F,0.9801,0.261,0.266,9.5
BONW 199,0,16-06-2017,167,2,Nicrophorus,orbicollis,F,0.98,0.261,0.266,9.17
PANG 21,0,06-07-2017,187,2,Nicrophorus,orbicollis,F,0.9796,0.261,0.266,9.47
MASS 119,0,05-07-2017,186,2,Nicrophorus,orbicollis,F,0.9833,0.262,0.266,8.76
MOOR 43,0,12-06-2017,163,2,Nicrophorus,orbicollis,F,0.9788,0.261,0.267,10.52
BONW 90,0,14-08-2017,226,3,Nicrophorus,orbicollis,F,0.9775,0.261,0.267,11.1
CAPE 51,0,12-07-2017,193,2,Nicrophorus,orbicollis,F,0.9846,0.263,0.267,9.21
BONW 199,0,16-06-2017,167,2,Nicrophorus,orbicollis,F,0.98,0.262,0.267,9.68
BRAC 128,0,24-08-2017,236,3,Nicrophorus,orbicollis,F,0.9762,0.261,0.267,9.29
MASS 7,6,21-06-2017,172,2,Nicrophorus,orbicollis,F,0.9753,0.261,0.268,8.98
PANG 114,0,15-09-2017,258,4,Nicrophorus,orbicollis,F,0.9773,0.262,0.268,10.72
PANG 121,0,21-08-2017,233,3,Nicrophorus,orbicollis,F,0.9768,0.262,0.268,9.12
MASS 124,0,16-08-2017,228,3,Nicrophorus,orbicollis,F,0.98,0.263,0.268,11.49
HUGH 73,0,12-06-2017,163,2,Nicrophorus,orbicollis,F,0.9798,0.263,0.268,10.16
BONW 90,0,14-08-2017,226,3,Nicrophorus,orbicollis,F,0.9775,0.263,0.269,9.68
PANG 25,0,10-07-2017,191,2,Nicrophorus,orbicollis,F,0.9798,0.264,0.269,9.92
MASS 202,0,23-08-2017,235,3,Nicrophorus,orbicollis,F,0.9748,0.263,0.27,9.11
MASS 125,0,07-08-2017,219,3,Nicrophorus,orbicollis,F,0.9739,0.263,0.27,8.98
PANG 121,0,10-07-2017,191,2,Nicrophorus,orbicollis,F,0.9798,0.265,0.27,9.55
CAPE 51,0,12-07-2017,193,2,Nicrophorus,orbicollis,F,0.9846,0.267,0.271,9.91
HUGH 73,0,12-06-2017,163,2,Nicrophorus,orbicollis,F,0.9802,0.266,0.271,9.55
BRAC 105,0,24-08-2017,236,3,Nicrophorus,orbicollis,F,0.9765,0.265,0.271,9.72
BOST 17,0,01-08-2017,213,3,Nicrophorus,orbicollis,F,0.9757,0.265,0.272,10.24
BONW 103,0,18-08-2017,230,3,Nicrophorus,orbicollis,F,0.9849,0.268,0.272,9.52
HUGH 137,6,22-08-2017,234,3,Nicrophorus,orbicollis,F,0.9808,0.267,0.272,9.39
MASS 200,0,04-07-2017,185,2,Nicrophorus,orbicollis,F,0.9799,0.267,0.272,9.44
PANG 25,0,10-07-2017,191,2,Nicrophorus,orbicollis,F,0.9798,0.267,0.273,9.46
MASS 130,0,09-08-2017,221,3,Nicrophorus,orbicollis,F,0.975,0.266,0.273,9.94
HUGH 70,0,25-08-2017,237,3,Nicrophorus,orbicollis,F,0.9737,0.266,0.273,9.76
BONW 98,0,16-06-2017,167,2,Nicrophorus,orbicollis,F,0.9827,0.269,0.274,10.06
